    -4.14912840E-002     0.00000000E+000
    -4.12369260E-002    -6.17410842E-012
    -4.09825680E-002    -1.92546159E-011
    -4.07282100E-002    -3.74294480E-011
    -4.04738520E-002    -5.85633358E-011
    -4.02194940E-002    -8.28103295E-011
    -3.99651361E-002    -1.14200729E-010
    -3.97107781E-002    -1.59382823E-010
    -3.94564201E-002    -2.24525617E-010
    -3.92020621E-002    -3.12414490E-010
    -3.89477041E-002    -4.21525549E-010
    -3.86933461E-002    -5.47155574E-010
    -3.84389881E-002    -6.83211816E-010
    -3.81846301E-002    -8.23517451E-010
    -3.79302721E-002    -9.63252407E-010
    -3.76759141E-002    -1.10250733E-009
    -3.74215561E-002    -1.25291948E-009
    -3.71671981E-002    -1.44491010E-009
    -3.69128401E-002    -1.72947350E-009
    -3.66584821E-002    -2.16811805E-009
    -3.64041242E-002    -2.80954182E-009
    -3.61497662E-002    -3.66111473E-009
    -3.58954082E-002    -4.67287991E-009
    -3.56410502E-002    -5.75434561E-009
    -3.53866922E-002    -6.83241220E-009
    -3.51323342E-002    -7.93087889E-009
    -3.48779762E-002    -9.22053322E-009
    -3.46236182E-002    -1.09819050E-008
    -3.43692602E-002    -1.34677365E-008
    -3.41149022E-002    -1.67413546E-008
    -3.38605442E-002    -2.06336367E-008
    -3.36061862E-002    -2.49124765E-008
    -3.33518282E-002    -2.95766736E-008
    -3.30974702E-002    -3.50112110E-008
    -3.28431123E-002    -4.17959664E-008
    -3.25887543E-002    -5.02954460E-008
    -3.23343963E-002    -6.04667774E-008
    -3.20800383E-002    -7.21756592E-008
    -3.18256803E-002    -8.57211453E-008
    -3.15713223E-002    -1.01911124E-007
    -3.13169643E-002    -1.21505620E-007
    -3.10626063E-002    -1.44716024E-007
    -3.08082483E-002    -1.71514120E-007
    -3.05538903E-002    -2.02454563E-007
    -3.02995323E-002    -2.38910376E-007
    -3.00451743E-002    -2.82344739E-007
    -2.97908163E-002    -3.33600064E-007
    -2.95364583E-002    -3.93178173E-007
    -2.92821004E-002    -4.62090272E-007
    -2.90277424E-002    -5.42167209E-007
    -2.87733844E-002    -6.35631682E-007
    -2.85190264E-002    -7.44655556E-007
    -2.82646684E-002    -8.71337472E-007
    -2.80103104E-002    -1.01793920E-006
    -2.77559524E-002    -1.18719972E-006
    -2.75015944E-002    -1.38258533E-006
    -2.72472364E-002    -1.60821136E-006
    -2.69928784E-002    -1.86848622E-006
    -2.67385204E-002    -2.16798436E-006
    -2.64841624E-002    -2.51178159E-006
    -2.62298044E-002    -2.90588730E-006
    -2.59754464E-002    -3.35736891E-006
    -2.57210885E-002    -3.87410926E-006
    -2.54667305E-002    -4.46450524E-006
    -2.52123725E-002    -5.13765468E-006
    -2.49580145E-002    -5.90403421E-006
