# Ref. Cavity Transverse Wakefield for different offsets. Calculated by Rob Ainsworth with T3P (ACE3P)
# s[m] charge 0.5mm 1.0mm 3.0mm 3.5mm 4.0mm 4.5mm 5.0mm
1.987623997000000087e-02 5.523141374119410315e-12 -1.447478185459668545e-03 -3.182671589975702171e-03 -1.098785603503987102e-02 -1.382469450908807053e-02 -1.731843054186087832e-02 -2.173897562696707267e-02 -2.749617776840052388e-02
1.990621920999999933e-02 5.574433257583629787e-12 -1.463613362439730031e-03 -3.218069712412738662e-03 -1.110931079785575093e-02 -1.397701610250837168e-02 -1.750847163101428364e-02 -2.197637153902722365e-02 -2.779463851725840276e-02
1.993619845999999862e-02 5.626098297375300034e-12 -1.479904075516735428e-03 -3.253807887906851395e-03 -1.123192119072109578e-02 -1.413078013876530731e-02 -1.770030156155147361e-02 -2.221598594532230367e-02 -2.809586367207850960e-02
1.996617770000000056e-02 5.678138013320399933e-12 -1.496351512232541254e-03 -3.289888691668311528e-03 -1.135569581044414654e-02 -1.428599725133152323e-02 -1.789393337829828234e-02 -2.245783480462911277e-02 -2.839987280630967836e-02
1.999615694999999985e-02 5.730553988108150146e-12 -1.512956887582062081e-03 -3.326314758704308500e-03 -1.148064345625541757e-02 -1.444267832577061754e-02 -1.808938043819415323e-02 -2.270193446175607435e-02 -2.870668596777359999e-02
2.002613618999999831e-02 5.783347728247370013e-12 -1.529721400085251332e-03 -3.363088687562256450e-03 -1.160677279927873132e-02 -1.460083408594157507e-02 -1.828665589372287237e-02 -2.294830100241413914e-02 -2.901632286643038641e-02
2.005611544000000107e-02 5.836520803767960274e-12 -1.546646276092928946e-03 -3.400213137569013059e-03 -1.173409271580580157e-02 -1.476047551249475530e-02 -1.848577321463356835e-02 -2.319695090479271735e-02 -2.932880369322214686e-02
2.008609469000000036e-02 5.890074725090500006e-12 -1.563732730749633950e-03 -3.437690743229521954e-03 -1.186261199351093011e-02 -1.492161347484393004e-02 -1.868674572861126273e-02 -2.344790046590942284e-02 -2.964414840011765986e-02
2.011607392999999883e-02 5.944010995109429939e-12 -1.580981984592195284e-03 -3.475524150707202595e-03 -1.199233945650405968e-02 -1.508425888804091654e-02 -1.888958681686883634e-02 -2.370116604561708223e-02 -2.996237700891980424e-02
2.014605318000000159e-02 5.998331163561760041e-12 -1.598395280900215048e-03 -3.513716056075950802e-03 -1.212328409646011053e-02 -1.524842287689228901e-02 -1.909431011892776670e-02 -2.395676432193575428e-02 -3.028350993424063636e-02
2.017603242000000005e-02 6.053036700590940110e-12 -1.615973845264879073e-03 -3.552269116771974728e-03 -1.225545476903943526e-02 -1.541411639476280779e-02 -1.930092905739966974e-02 -2.421471169737650364e-02 -3.060756723958598866e-02
2.020601166999999934e-02 6.108129141524829884e-12 -1.633718931981752989e-03 -3.591186053528381498e-03 -1.238886054344626696e-02 -1.558135066097895462e-02 -1.950945738372972596e-02 -2.447502497979699501e-02 -3.093456949442206783e-02
2.023599091999999863e-02 6.163609959282960308e-12 -1.651631783057409472e-03 -3.630469560587998648e-03 -1.252351039468139852e-02 -1.575013677408036716e-02 -1.971990869619676470e-02 -2.473772078025925428e-02 -3.126453701821511194e-02
2.026597016000000057e-02 6.219480618356699675e-12 -1.669713645641660764e-03 -3.670122343879424556e-03 -1.265941333451237917e-02 -1.592048587512070318e-02 -1.993229664378444801e-02 -2.500281576723305602e-02 -3.159749019958141281e-02
2.029594940999999986e-02 6.275742631120459981e-12 -1.687965790294653108e-03 -3.710147161007058825e-03 -1.279657854855183012e-02 -1.609240931878548955e-02 -2.014663513963228444e-02 -2.527032693271460267e-02 -3.193344982975133278e-02
2.032592864999999832e-02 6.332397426867940315e-12 -1.706389468655291871e-03 -3.750546728350324065e-03 -1.293501507779843199e-02 -1.626591827385941852e-02 -2.036293786286192883e-02 -2.554027097028122029e-02 -3.227243632024125175e-02
2.035590790000000108e-02 6.389446501767430111e-12 -1.724985962143671869e-03 -3.791323827794127604e-03 -1.307473218425578808e-02 -1.644102418154810494e-02 -2.058121882976650385e-02 -2.581266498809003593e-02 -3.261447059705295526e-02
2.038588713999999955e-02 6.446891267491560145e-12 -1.743756532803036668e-03 -3.832481198830885345e-03 -1.321573898094623861e-02 -1.661773829226323093e-02 -2.080149181586251131e-02 -2.608752578803741687e-02 -3.295957319451143369e-02
2.041586638999999884e-02 6.504733203271090297e-12 -1.762702472916475617e-03 -3.874021647288705336e-03 -1.335804480409207538e-02 -1.679607213295945117e-02 -2.102377093792067234e-02 -2.636487059264611132e-02 -3.330776516729625630e-02
2.044584564000000160e-02 6.562973721908609949e-12 -1.781825061294365102e-03 -3.915947949377858797e-03 -1.350165888399353781e-02 -1.697603709581698220e-02 -2.124807014057974661e-02 -2.664471640519313483e-02 -3.365906728676620885e-02
2.047582488000000006e-02 6.621614226478369775e-12 -1.801125581903687337e-03 -3.958262892382011754e-03 -1.364659048410509987e-02 -1.715764461371704214e-02 -2.147440341440896502e-02 -2.692708028272466567e-02 -3.401350038382829760e-02
2.050580412999999935e-02 6.680656169418579978e-12 -1.820605343388069812e-03 -4.000969317277190684e-03 -1.379284904675141116e-02 -1.734090634389764615e-02 -2.170278502425947512e-02 -2.721197962168906206e-02 -3.437108570751209319e-02
2.053578337000000129e-02 6.740100915085889833e-12 -1.840265633899628318e-03 -4.044070019566025319e-03 -1.394044385338477979e-02 -1.752583374303202587e-02 -2.193322897934165544e-02 -2.749943149741522139e-02 -3.473184409577568382e-02
2.056576262000000058e-02 6.799949897122889996e-12 -1.860107773097940216e-03 -4.087567863159377590e-03 -1.408938441467857440e-02 -1.771243855626607536e-02 -2.216574964266383382e-02 -2.778945342468733606e-02 -3.509579692991182664e-02
2.059574185999999904e-02 6.860204459637299901e-12 -1.880133059676423503e-03 -4.131465665295664010e-03 -1.423968007666048287e-02 -1.790073232346339749e-02 -2.240036111605911776e-02 -2.808206259055491538e-02 -3.546296517121655389e-02
2.062572110999999833e-02 6.920866016721600160e-12 -1.900342824263096756e-03 -4.175766312578464874e-03 -1.439134041836013546e-02 -1.809072687667485566e-02 -2.263707786059735577e-02 -2.837727662784342644e-02 -3.583337033091012896e-02
2.065570036000000109e-02 6.981935911908570404e-12 -1.920738382732945339e-03 -4.220472658698919480e-03 -1.454437490206060384e-02 -1.828243390081219638e-02 -2.287591414996615127e-02 -2.867511293278095577e-02 -3.620703361318134555e-02
2.068567959999999956e-02 7.043415477662840304e-12 -1.941321056057852346e-03 -4.265587567924682480e-03 -1.469879302262626017e-02 -1.847586511932174450e-02 -2.311688430272097750e-02 -2.897558895397356685e-02 -3.658397627738173979e-02
2.071565884999999885e-02 7.105306097323439744e-12 -1.962092191135707438e-03 -4.311113960620111332e-03 -1.485460446365320132e-02 -1.867103248837641630e-02 -2.336000292504521875e-02 -2.927872249436392488e-02 -3.696422001659259438e-02
2.074563809000000078e-02 7.167609061015909799e-12 -1.983053112666327469e-03 -4.357054707590434992e-03 -1.501181873615083616e-02 -1.886794774308312925e-02 -2.360528434604863141e-02 -2.958453100643247680e-02 -3.734778607404137807e-02
2.077561734000000007e-02 7.230325730616310291e-12 -2.004205178600721241e-03 -4.403412751541349764e-03 -1.517044559443200477e-02 -1.906662291744451801e-02 -2.385274326587203189e-02 -2.989303239994051467e-02 -3.773469625729092974e-02
2.080559658999999936e-02 7.293457394426050327e-12 -2.025549731286228373e-03 -4.450191000062945351e-03 -1.533049466991295851e-02 -1.926706988525236572e-02 -2.410239418380204224e-02 -3.020424432882924323e-02 -3.812497204499926823e-02
2.083557583000000130e-02 7.357005328699730179e-12 -2.047088118183290704e-03 -4.497392371159176540e-03 -1.549197562679259510e-02 -1.946930055523183808e-02 -2.435425164112244023e-02 -3.051818449390718280e-02 -3.851863496809060372e-02
2.086555508000000059e-02 7.420970861664080400e-12 -2.068821713502759681e-03 -4.545019840872466244e-03 -1.565489832474115453e-02 -1.967332707519327609e-02 -2.460833047494998677e-02 -3.083487095945991463e-02 -3.891570700800887211e-02
2.089553431999999905e-02 7.485355224591819886e-12 -2.090751867705962271e-03 -4.593076332733232216e-03 -1.581927244041634456e-02 -1.987916135889162758e-02 -2.486464522834343563e-02 -3.115432141838488100e-02 -3.931620967612665246e-02
2.092551356999999834e-02 7.550159722299190731e-12 -2.112879965459402327e-03 -4.641564844786190587e-03 -1.598510790156772859e-02 -2.008681563080055854e-02 -2.512321082824050048e-02 -3.147655403712524419e-02 -3.972016507363491933e-02
2.095549281000000028e-02 7.615385561135719252e-12 -2.135207367096771461e-03 -4.690488321258706739e-03 -1.615241444762539544e-02 -2.029630187697013463e-02 -2.538404190140985950e-02 -3.180158660278174093e-02 -4.012759482236984143e-02
2.098547205999999957e-02 7.681034021719330139e-12 -2.157735467687824701e-03 -4.739849781850748178e-03 -1.632120207153090613e-02 -2.050763239926860215e-02 -2.564715346440069391e-02 -3.212943738230992358e-02 -4.053852114165862330e-02
2.101545130999999886e-02 7.747106306789630118e-12 -2.180465645026843924e-03 -4.789652207693079027e-03 -1.649148062940256065e-02 -2.072081932740714449e-02 -2.591256031589690700e-02 -3.246012436425643743e-02 -4.095296589758710276e-02
2.104543055000000079e-02 7.813603605643240411e-12 -2.203399281738174873e-03 -4.839898589776582202e-03 -1.666326000583619529e-02 -2.093587482651761145e-02 -2.618027729537088580e-02 -3.279366557966140877e-02 -4.137095100488757948e-02
2.107540980000000008e-02 7.880527161113200728e-12 -2.226537788361601482e-03 -4.890591979594158083e-03 -1.683655028686098509e-02 -2.115281131393488209e-02 -2.645031955297405188e-02 -3.313007943699056157e-02 -4.179249884610882620e-02
2.110538903999999855e-02 7.947878113745160446e-12 -2.249882549624478232e-03 -4.941735371427713290e-03 -1.701136135750283898e-02 -2.137164095531344024e-02 -2.672270192233686115e-02 -3.346938393970731729e-02 -4.221763129071014198e-02
2.113536829000000131e-02 8.015657680184420796e-12 -2.273434986089486933e-03 -4.993331837517763633e-03 -1.718770336389907616e-02 -2.159237624302629346e-02 -2.699743964040062297e-02 -3.381159758260941089e-02 -4.264637081754520803e-02
2.116534752999999977e-02 8.083866973245680618e-12 -2.297196491750425583e-03 -5.045384391458516624e-03 -1.736558624652847355e-02 -2.181502941157135306e-02 -2.727454761939221428e-02 -3.415673844519890451e-02 -4.307873937815706600e-02
2.119532677999999906e-02 8.152507182583499312e-12 -2.321168496848567252e-03 -5.097896125743260620e-03 -1.754502021053135769e-02 -2.203961302588399937e-02 -2.755404117864688335e-02 -3.450482510426332305e-02 -4.351475953899599375e-02
2.122530602999999835e-02 8.221579415582810313e-12 -2.345352412458554924e-03 -5.150870090377795626e-03 -1.772601531113114984e-02 -2.226613946194740470e-02 -2.783593539765354466e-02 -3.485587582982176830e-02 -4.395445347275387521e-02
2.125528527000000029e-02 8.291084764764179302e-12 -2.369749653997468147e-03 -5.204309344369754779e-03 -1.790858162985123347e-02 -2.249462112694814581e-02 -2.812024538961262199e-02 -3.520990892779441578e-02 -4.439784338636092176e-02
2.128526451999999958e-02 8.361024377782449740e-12 -2.394361665820857014e-03 -5.258217009543132703e-03 -1.809272945854058581e-02 -2.272507068919451048e-02 -2.840698658708521243e-02 -3.556694309794104086e-02 -4.484495196788903376e-02
2.131524376000000151e-02 8.431399294569430234e-12 -2.419189864079987224e-03 -5.312596145335981256e-03 -1.827846887177962676e-02 -2.295750054273944935e-02 -2.869617407551565066e-02 -3.592699660593545730e-02 -4.529580134880183129e-02
2.134522301000000080e-02 8.502210633766289219e-12 -2.444235702387636665e-03 -5.367449892559044734e-03 -1.846581021807520984e-02 -2.319192342188042266e-02 -2.898782335774734847e-02 -3.629008823681106194e-02 -4.575041429740805271e-02
2.137520226000000009e-02 8.573459428560269543e-12 -2.469500613931454192e-03 -5.422781346635088470e-03 -1.865476368698024134e-02 -2.342835185925829650e-02 -2.928194967983822894e-02 -3.665623645650714635e-02 -4.620881316918736686e-02
2.140518149999999856e-02 8.645146696246960681e-12 -2.494986036040584398e-03 -5.478593611430566251e-03 -1.884533949296655908e-02 -2.366679841591910749e-02 -2.957856831753221880e-02 -3.702545976884705214e-02 -4.667102035462333820e-02
2.143516075000000132e-02 8.717273510418930791e-12 -2.520693435877798330e-03 -5.534889855478403696e-03 -1.903754806727701865e-02 -2.390727592131202534e-02 -2.987769487522951711e-02 -3.739777708722875904e-02 -4.713705874568299703e-02
2.146513998999999978e-02 8.789840833007569284e-12 -2.546624250759335541e-03 -5.591673181233416424e-03 -1.923139961134892953e-02 -2.414979691452900229e-02 -3.017934459141048339e-02 -3.777320686889201751e-02 -4.760695065381686381e-02
2.149511923999999907e-02 8.862849706550549266e-12 -2.572779956716721335e-03 -5.648946775218633386e-03 -1.942690460925450627e-02 -2.439437428534558736e-02 -3.048353313653062377e-02 -3.815176810661032036e-02 -4.808071905288378162e-02
2.152509848000000101e-02 8.936301060337509567e-12 -2.599161999204489988e-03 -5.706713756433440601e-03 -1.962407330992366888e-02 -2.464102062633970192e-02 -3.079027580780975548e-02 -3.853347932459455505e-02 -4.855838632383260856e-02
2.155507773000000030e-02 9.010195905030710309e-12 -2.625771862875374285e-03 -5.764977329145090645e-03 -1.982291624843644795e-02 -2.488974888495989329e-02 -3.109958834074619954e-02 -3.891835958645514792e-02 -4.903997551709029373e-02
2.158505697999999959e-02 9.084535161322459543e-12 -2.652611010160330508e-03 -5.823740648292487394e-03 -2.002344378642363990e-02 -2.514057178841660328e-02 -3.141148619423911326e-02 -3.930642760396180213e-02 -4.952550923748028772e-02
2.161503622000000152e-02 9.159319732563910405e-12 -2.679680907469355992e-03 -5.883006876749255314e-03 -2.022566630738458979e-02 -2.539350208792304220e-02 -3.172598485449281552e-02 -3.969770211388432002e-02 -5.001501011545081421e-02
2.164501547000000081e-02 9.234550580061869553e-12 -2.706983052539791140e-03 -5.942779245065123173e-03 -2.042959442041009446e-02 -2.564855281332420814e-02 -3.204310015168183867e-02 -4.009220227120040975e-02 -5.050850129805434935e-02
2.167499470999999928e-02 9.310228547881730173e-12 -2.734518911081559173e-03 -6.003060912660221002e-03 -2.063523848653734880e-02 -2.590573668048673506e-02 -3.236284752295440215e-02 -4.048994673200206201e-02 -5.100600530061975835e-02
2.170497395999999857e-02 9.386354563396409828e-12 -2.762289989607014194e-03 -6.063855127239063843e-03 -2.084260916257418828e-02 -2.616506677132102165e-02 -3.268524285766619825e-02 -4.089095470533796184e-02 -5.150754532137531705e-02
2.173495321000000133e-02 9.462929460748110264e-12 -2.790297771120622394e-03 -6.125165084266134992e-03 -2.105171692167336073e-02 -2.642655593403816713e-02 -3.301030175141116824e-02 -4.129524502622475279e-02 -5.201314408074846074e-02
2.176493244999999979e-02 9.539954055697719693e-12 -2.818543742189924713e-03 -6.186993986661807818e-03 -2.126257225696069966e-02 -2.669021703776860294e-02 -3.333803982228848023e-02 -4.170283655020470132e-02 -5.252282431418647118e-02
2.179491169999999908e-02 9.617429223169680034e-12 -2.847029421347379782e-03 -6.249345107074069129e-03 -2.147518589384960624e-02 -2.695606323816487904e-02 -3.366847304062449420e-02 -4.211374856465211619e-02 -5.303660928592214552e-02
2.182489094000000102e-02 9.695355716820390135e-12 -2.875756292929040978e-03 -6.312221643023507509e-03 -2.168956829600870995e-02 -2.722410735989228350e-02 -3.400161696108307957e-02 -4.252799983504539777e-02 -5.355452159608697221e-02
2.185487019000000031e-02 9.773734375575950652e-12 -2.904725882975439221e-03 -6.375626883131784405e-03 -2.190573023214517981e-02 -2.749436260567725970e-02 -3.433748760381794690e-02 -4.294560970150290008e-02 -5.407658455197968117e-02
2.188484942999999877e-02 9.852565915475859353e-12 -2.933939682524072407e-03 -6.439564039150906527e-03 -2.212368220334072488e-02 -2.776684184073492656e-02 -3.467610056479714098e-02 -4.336659697277268216e-02 -5.460282078606309292e-02
2.191482868000000153e-02 9.931851138621709603e-12 -2.963399224960804133e-03 -6.504036414990141575e-03 -2.234343501919376987e-02 -2.804155831359104664e-02 -3.501747191158852135e-02 -4.379098103947715731e-02 -5.513325364884868324e-02
2.194480793000000082e-02 1.001159074927999924e-11 -2.993106017911568648e-03 -6.569047257605691720e-03 -2.256499928942144739e-02 -2.831852502101223079e-02 -3.536161739405885296e-02 -4.421878089168068682e-02 -5.566790598223785025e-02
2.197478716999999929e-02 1.009178543187949954e-11 -3.023061572159261006e-03 -6.634599820288765437e-03 -2.278838563963596006e-02 -2.859775497807075934e-02 -3.570855277994462729e-02 -4.465001553462321499e-02 -5.620680064097082623e-02
2.200476641999999858e-02 1.017243593173649943e-11 -3.053267431703876773e-03 -6.700697428668576580e-03 -2.301360493620131786e-02 -2.887926149945397800e-02 -3.605829420445715028e-02 -4.508470442128608563e-02 -5.674996103467810221e-02
2.203474566000000051e-02 1.025354286721769980e-11 -3.083725103436373016e-03 -6.767343327155168724e-03 -2.324066776298870304e-02 -2.916305754547984797e-02 -3.641085735786179362e-02 -4.552286644090860340e-02 -5.729740986490321208e-02
2.206472490999999980e-02 1.033510694475149966e-11 -3.114436137680245183e-03 -6.834540855189204234e-03 -2.346958502201941174e-02 -2.944915647266220862e-02 -3.676625841812115880e-02 -4.596452107701005235e-02 -5.784917057257583234e-02
2.209470414999999827e-02 1.041712874218570043e-11 -3.145402046869988193e-03 -6.902293269251501620e-03 -2.370036732719519451e-02 -2.973757127562090541e-02 -3.712451310923522985e-02 -4.640968723666202139e-02 -5.840526587469974107e-02
2.212468340000000103e-02 1.049960892623709921e-11 -3.176624387515277533e-03 -6.970603922020540341e-03 -2.393302561481071636e-02 -3.002831534958887855e-02 -3.748563764864570186e-02 -4.685838442818156951e-02 -5.896571923438912594e-02
2.215466265000000032e-02 1.058254806115069966e-11 -3.208104688095374767e-03 -7.039476104403996973e-03 -2.416757060548911304e-02 -3.032140181749704011e-02 -3.784964791138775014e-02 -4.731063172367758196e-02 -5.953055356299970929e-02
2.218464188999999878e-02 1.066594668988360041e-11 -3.239844479800274568e-03 -7.108913112615251016e-03 -2.440401303281750089e-02 -3.061684381515803605e-02 -3.821655978430416045e-02 -4.776644820127582541e-02 -6.009979176995943612e-02
2.221462114000000154e-02 1.074980541804480045e-11 -3.271845328525715534e-03 -7.178918318086239918e-03 -2.464236388131071931e-02 -3.091465478817839382e-02 -3.858638953468323390e-02 -4.822585340549109811e-02 -6.067345733484059978e-02
2.224460038000000001e-02 1.083412471857509935e-11 -3.304108760537495006e-03 -7.249495004844680977e-03 -2.488263383248412106e-02 -3.121484779960096920e-02 -3.895915295018741870e-02 -4.868886628126487676e-02 -6.125157297366597836e-02
2.227457962999999930e-02 1.091890515532120037e-11 -3.336636347813963423e-03 -7.320646556194841149e-03 -2.512483390029285335e-02 -3.151743632371984544e-02 -3.933486632450028386e-02 -4.915550640061280147e-02 -6.183416216858141773e-02
2.230455887999999859e-02 1.100414718633380066e-11 -3.369429632842423604e-03 -7.392376290175591003e-03 -2.536897487066611806e-02 -3.182243354591002965e-02 -3.971354558775628402e-02 -4.962579288415285006e-02 -6.242124782024442708e-02
2.233453812000000052e-02 1.108985124734889943e-11 -3.402490160604179463e-03 -7.464687529455490099e-03 -2.561506753921439714e-02 -3.212985265978381827e-02 -4.009520667566639912e-02 -5.009974486033433316e-02 -6.301285282141348698e-02
2.236451736999999981e-02 1.117601783803999974e-11 -3.435819511876850915e-03 -7.537583674114543310e-03 -2.586312295861012411e-02 -3.243970717649106994e-02 -4.047986591362692094e-02 -5.057738194203496157e-02 -6.360900065325388042e-02
2.239449660999999828e-02 1.126264732131489982e-11 -3.469419225778209992e-03 -7.611068032243132990e-03 -2.611315186188587281e-02 -3.275201020452130768e-02 -4.086753912288453722e-02 -5.105872311512542339e-02 -6.420971400051750377e-02
2.242447586000000104e-02 1.134974015305009941e-11 -3.503290888594281106e-03 -7.685144014290871094e-03 -2.636516532367195326e-02 -3.306677527584441639e-02 -4.125824264642651007e-02 -5.154378801014652955e-02 -6.481501634173987558e-02
2.245445509999999950e-02 1.143729665071600058e-11 -3.537436044013147866e-03 -7.759814936782929301e-03 -2.661917409236139523e-02 -3.338401551193883460e-02 -4.165199231390046691e-02 -5.203259561442836328e-02 -6.542493034510518668e-02
2.248443434999999879e-02 1.152531722558409939e-11 -3.571856283450390319e-03 -7.835084219874473635e-03 -2.687518926213636195e-02 -3.370374446320793110e-02 -4.204880448363892270e-02 -5.252516556326873587e-02 -6.603947948207654350e-02
2.251441360000000155e-02 1.161380217847260043e-11 -3.606553166426705939e-03 -7.910955213246560064e-03 -2.713322168081439001e-02 -3.402597536943703649e-02 -4.244869512461126732e-02 -5.302151699831693377e-02 -6.665868660433058035e-02
2.254439284000000002e-02 1.170275178646540043e-11 -3.641528254428304592e-03 -7.987431270045301790e-03 -2.739328220171299497e-02 -3.435072147429314715e-02 -4.285168020661503374e-02 -5.352166905071852748e-02 -6.728257454681264849e-02
2.257437208999999931e-02 1.179216639242100022e-11 -3.676783146157899026e-03 -8.064515823865279348e-03 -2.765538194562367630e-02 -3.467799635232305527e-02 -4.325777610566025611e-02 -5.402564134414702263e-02 -6.791116675403813252e-02
2.260435133000000124e-02 1.188204619669159953e-11 -3.712319395509124965e-03 -8.142212209581193780e-03 -2.791953169187308750e-02 -3.500781314846924952e-02 -4.366699865976395728e-02 -5.453345282378838088e-02 -6.854448581706301669e-02
2.263433058000000053e-02 1.197239149552960022e-11 -3.748138605479038252e-03 -8.220523868859658245e-03 -2.818574257733993255e-02 -3.534018545083151414e-02 -4.407936425142509884e-02 -5.504512310096389138e-02 -6.918255514781934679e-02
2.266430981999999900e-02 1.206320244104299948e-11 -3.784242333203863100e-03 -8.299454142611054422e-03 -2.845402539107400042e-02 -3.567512640993034806e-02 -4.449488871435264281e-02 -5.556067109818802613e-02 -6.982539728637648935e-02
2.269428906999999829e-02 1.215447928208600042e-11 -3.820632185398669528e-03 -8.379006479747229397e-03 -2.872439128422413918e-02 -3.601264962511236539e-02 -4.491358843275201213e-02 -5.608011641480554338e-02 -7.047303560138475087e-02
2.272426832000000105e-02 1.224622215241169993e-11 -3.857309734149504815e-03 -8.459184253112083177e-03 -2.899685114447785386e-02 -3.635276836362850983e-02 -4.533547937227008079e-02 -5.660347812578057219e-02 -7.112549279105778721e-02
2.275424755999999951e-02 1.233843116065049991e-11 -3.894276552736325794e-03 -8.539990837585848676e-03 -2.927141586181784133e-02 -3.669549589273871093e-02 -4.576057749180686279e-02 -5.713077529339632282e-02 -7.178279152125292828e-02
2.278422680999999880e-02 1.243110648308710000e-11 -3.931534252825114560e-03 -8.621429691403764001e-03 -2.954809660476272540e-02 -3.704084582462580794e-02 -4.618889917134175183e-02 -5.766202749793785526e-02 -7.244495508846078569e-02
2.281420605000000074e-02 1.252424814777399943e-11 -3.969084397854782433e-03 -8.703504166872136696e-03 -2.982690417719400383e-02 -3.738883131358917283e-02 -4.662046021646906735e-02 -5.819725360229867361e-02 -7.311200588275913737e-02
2.284418530000000003e-02 1.261785628164320058e-11 -4.006928602414926849e-03 -8.786217727464745372e-03 -3.010784975591087459e-02 -3.773946597670270464e-02 -4.705527700055042728e-02 -5.873647316751638009e-02 -7.378396715570140207e-02
2.287416454999999932e-02 1.271193089322179979e-11 -4.045068444706710446e-03 -8.869573756406972168e-03 -3.039094424017798127e-02 -3.809276308183638660e-02 -4.749336545809886012e-02 -5.927970520307116603e-02 -7.446086146619311508e-02
2.290414379000000125e-02 1.280647196494530016e-11 -4.083505503785260331e-03 -8.953575637980671839e-03 -3.067619852770685565e-02 -3.844873589190987012e-02 -4.793474151216380041e-02 -5.982696869547420720e-02 -7.514271134219574488e-02
2.293412304000000054e-02 1.290147954827410039e-11 -4.122241398373472678e-03 -9.038226842047332801e-03 -3.096362380133089315e-02 -3.880739802231829988e-02 -4.837942151794883544e-02 -6.037828315692021774e-02 -7.582953996590301171e-02
2.296410227999999901e-02 1.299695354236589954e-11 -4.161277696976809284e-03 -9.123530727272595800e-03 -3.125323086060734223e-02 -3.916876260658383457e-02 -4.882742122856650185e-02 -6.093366734216759673e-02 -7.652136957501641523e-02
2.299408152999999830e-02 1.309289394741509958e-11 -4.200616021227821482e-03 -9.209490766819837526e-03 -3.154503088798840671e-02 -3.953284325222115869e-02 -4.927875698033387653e-02 -6.149314071772889884e-02 -7.721822329129590656e-02
2.302406077000000023e-02 1.318930060969160055e-11 -4.240257941691683713e-03 -9.296110320611819869e-03 -3.183903467518959390e-02 -3.989965307523665045e-02 -4.973344449600381606e-02 -6.205672197846900939e-02 -7.792012326953876022e-02
2.305404001999999952e-02 1.328617347737200070e-11 -4.280205082793682968e-03 -9.383392864602249986e-03 -3.213525340119730705e-02 -4.026920567065031542e-02 -5.019150008795031370e-02 -6.262443053982945373e-02 -7.862709255233471528e-02
2.308401926999999881e-02 1.338351237563719963e-11 -4.320459030360603372e-03 -9.471341788724566002e-03 -3.243369794659004685e-02 -4.064151425691821251e-02 -5.065293959755525627e-02 -6.319628522428193118e-02 -7.933915343010086718e-02
2.311399851000000075e-02 1.348131710226219932e-11 -4.361021370882968949e-03 -9.559960482762419609e-03 -3.273437918488363019e-02 -4.101659203932114806e-02 -5.111777884552015649e-02 -6.377230482085038954e-02 -8.005632813456479979e-02
2.314397776000000004e-02 1.357958752600379991e-11 -4.401893732306143281e-03 -9.649252425515083761e-03 -3.303730828497379590e-02 -4.139445258716276110e-02 -5.158603409915358401e-02 -6.435250866523745117e-02 -8.077863955877173652e-02
2.317395699999999850e-02 1.367832335766099922e-11 -4.443077688984678475e-03 -9.739220977177115088e-03 -3.334249600687843457e-02 -4.177510895534666813e-02 -5.205772098347943855e-02 -6.493691529133818752e-02 -8.150610957751494579e-02
2.320393625000000126e-02 1.377752441212869947e-11 -4.484574870610987668e-03 -9.829869617389993056e-03 -3.364995350938438518e-02 -4.215857469187093975e-02 -5.253285572951287702e-02 -6.552554397852040913e-02 -8.223876097441268351e-02
2.323391550000000055e-02 1.387719037806280018e-11 -4.526386866122909802e-03 -9.921201735416319140e-03 -3.395969163824386766e-02 -4.254486295017511494e-02 -5.301145407407102661e-02 -6.611841338859042461e-02 -8.297661574729889300e-02
2.326389473999999902e-02 1.397732091580719954e-11 -4.568515264484233548e-03 -1.001322071928921649e-02 -3.427172122856884245e-02 -4.293398686659098684e-02 -5.349353172738389312e-02 -6.671554214491956514e-02 -8.371969583203403564e-02
2.329387398999999831e-02 1.407791575811409920e-11 -4.610961697028900970e-03 -1.010593004841017772e-02 -3.458605341855020693e-02 -4.332595995177677961e-02 -5.397910485793121910e-02 -6.731694943247443219e-02 -8.446802385213353359e-02
2.332385323000000024e-02 1.417897447578039954e-11 -4.653727738781042282e-03 -1.019933307804671459e-02 -3.490269891851523199e-02 -4.372079517931389686e-02 -5.446818896334004040e-02 -6.792265359869309460e-02 -8.522162138015748623e-02
2.335383247999999953e-02 1.428049674591070070e-11 -4.696815021551947744e-03 -1.029343328650727390e-02 -3.522166884876475751e-02 -4.411850603066853199e-02 -5.496080016491686204e-02 -6.853267375609127521e-02 -8.598051093341747830e-02
2.338381172000000147e-02 1.438248208206740077e-11 -4.740225119616561268e-03 -1.038823402569572993e-02 -3.554297389360672882e-02 -4.451910544037773754e-02 -5.545695390111457512e-02 -6.914702816359408200e-02 -8.674471396051014471e-02
2.341379097000000076e-02 1.448493010501119971e-11 -4.783959664528748823e-03 -1.048373877202386957e-02 -3.586662515157044290e-02 -4.492260685606990628e-02 -5.595666624072005019e-02 -6.976573585230527730e-02 -8.751425286317580932e-02
2.344377022000000005e-02 1.458784030478560046e-11 -4.828020243849274681e-03 -1.057995090535522251e-02 -3.619263338577390077e-02 -4.532902330392115514e-02 -5.645995272541303595e-02 -7.038881519210141158e-02 -8.828914921192378140e-02
