# Ref. Cavity Transverse Wakefield for different offsets. Calculated by Rob Ainsworth with T3P (ACE3P)
# s[m] charge 0.5mm 1.0mm 3.0mm 3.5mm 4.0mm 4.5mm 5.0mm
1.858713240000000027e-03 7.734158159981230405e-16 -5.636772620985293305e-08 -1.211559505918087982e-07 -4.318920022335244369e-07 -5.498733638944212210e-07 -7.029261850274035143e-07 -9.115336415413163462e-07 -1.205155597386360410e-06
1.888692484999999989e-03 7.892508496616219611e-16 -5.815177475566841101e-08 -1.250337071460021450e-07 -4.446879443488258495e-07 -5.663017250598751635e-07 -7.243874235230859502e-07 -9.398632483891967926e-07 -1.243942629288397792e-06
1.918671730999999946e-03 8.053953201198240139e-16 -5.994103579156270683e-08 -1.289531284063921321e-07 -4.576871292538926522e-07 -5.830832993193784911e-07 -7.464262411690978100e-07 -9.690578813253595026e-07 -1.284000709002265430e-06
1.948650976999999904e-03 8.218549582098620351e-16 -6.173601449787307782e-08 -1.329163160720469602e-07 -4.709146185038884083e-07 -6.002518669131640760e-07 -7.690808361102905888e-07 -9.991582665317860427e-07 -1.325347731873803285e-06
1.978630222999999862e-03 8.386355949564019850e-16 -6.353747780160226064e-08 -1.369258052027482932e-07 -4.843969982200849800e-07 -6.178418055208135223e-07 -7.923878512439092815e-07 -1.030200342244119207e-06 -1.367992303989334693e-06
2.008609469000000036e-03 8.557431626531759817e-16 -6.534638368762118242e-08 -1.409845006428225161e-07 -4.981620775948494532e-07 -6.358876652655879865e-07 -8.163819479593670694e-07 -1.062214884506126924e-06 -1.411934190787524988e-06
2.038588714000000215e-03 8.731836959036530316e-16 -6.716394753396424761e-08 -1.450957704203887024e-07 -5.122387431936266290e-07 -6.544239075921793062e-07 -8.410955688409890472e-07 -1.095227363669897140e-06 -1.457165028014501185e-06
2.068567959999999956e-03 8.909633356108429808e-16 -6.899178560244262907e-08 -1.492636133476389228e-07 -5.266568345538857322e-07 -6.734846675356208160e-07 -8.665587477461255479e-07 -1.129257896916687517e-06 -1.503669145458359901e-06
2.098547206000000130e-03 9.090883271628290676e-16 -7.083203466424322351e-08 -1.534927747795626545e-07 -5.414468721171812940e-07 -6.931033651411007698e-07 -8.927987930807123035e-07 -1.164321128612869632e-06 -1.551424321271079669e-06
2.128526451999999871e-03 9.275650244484340871e-16 -7.268737859302219476e-08 -1.577887383667244896e-07 -5.566395928085590589e-07 -7.133121364116631926e-07 -9.198398305314602633e-07 -1.200426043453049233e-06 -1.600402485563795478e-06
2.158505698000000046e-03 9.463998910056869924e-16 -7.456097762323351277e-08 -1.621576073150590058e-07 -5.722653810834478878e-07 -7.341411953388001841e-07 -9.477023330405614848e-07 -1.237575854257683401e-06 -1.650570533538884125e-06
2.188484942999999790e-03 9.655995011247669932e-16 -7.645635269411863148e-08 -1.666059552792853432e-07 -5.883537613005500888e-07 -7.556183183568256247e-07 -9.764028459095688920e-07 -1.275768189051445224e-06 -1.701891503865121496e-06
2.218464188999999965e-03 9.851705441966020576e-16 -7.837729078538121159e-08 -1.711407264902545923e-07 -6.049330573301800896e-07 -7.777685616657709441e-07 -1.005954013985947545e-06 -1.314995678750472993e-06 -1.754326224787396032e-06
