-4.18E-02	-2.21162556E-06
-4.16E-02	-2.85115006E-06
-4.15E-02	-3.6197361E-06
-4.14E-02	-4.52679971E-06
-4.13E-02	-5.57844478E-06
-4.11E-02	-6.77727495E-06
-4.10E-02	-8.12245843E-06
-4.09E-02	-9.61067476E-06
-4.08E-02	-1.12373075E-05
-4.06E-02	-1.29983322E-05
-4.05E-02	-1.48919231E-05
-4.04E-02	-1.69200636E-05
-4.03E-02	-1.90890953E-05
-4.01E-02	-2.14097263E-05
-4.00E-02	-2.38959167E-05
-3.99E-02	-2.65639281E-05
-3.98E-02	-2.94317251E-05
-3.96E-02	-3.25205787E-05
-3.95E-02	-3.5858825E-05
-3.94E-02	-3.9488608E-05
-3.93E-02	-4.34730742E-05
-3.91E-02	-4.79023018E-05
-3.90E-02	-5.28922549E-05
-3.89E-02	-0.000058575
-3.88E-02	-6.50762586E-05
-3.86E-02	-7.24860554E-05
-3.85E-02	-8.08284918E-05
-3.84E-02	-0.000090048
-3.83E-02	-0.0001000225
-3.81E-02	-0.0001106168
-3.80E-02	-0.0001217641
-3.79E-02	-0.000133555
-3.78E-02	-0.0001462885
-3.76E-02	-0.0001604458
-3.75E-02	-0.0001765675
-3.74E-02	-0.0001950681
-3.73E-02	-0.0002160607
-3.71E-02	-0.0002393095
-3.70E-02	-0.0002643689
-3.69E-02	-0.0002909001
-3.68E-02	-0.0003190027
-3.66E-02	-0.0003493592
-3.65E-02	-0.0003830262
-3.64E-02	-0.0004209461
-3.63E-02	-0.0004634571
-3.61E-02	-0.0005102187
-3.60E-02	-0.0005606754
-3.59E-02	-0.0006147884
-3.58E-02	-0.0006735739
-3.56E-02	-0.0007385678
-3.55E-02	-0.0008107121
-3.54E-02	-0.000889885
-3.53E-02	-0.0009752201
-3.51E-02	-0.001066757
-3.50E-02	-0.0011663608
-3.49E-02	-0.0012768374
-3.48E-02	-0.0013997384
-3.46E-02	-0.0015342273
-3.45E-02	-0.0016785162
-3.44E-02	-0.0018329839
-3.43E-02	-0.0020010778
